src		Tex  		noh   noh_quad_fit
(1665)        	 K   		e14   e14(cm-2)
====================================================
3C105		28.05		1.718	1.674
3C109		29.97		0.477	0.469
3C123		36.63		7.787	7.466
3C131		28.36		4.437	4.121
3C132		39.55		0.222	0.264
3C133		36.3		6.728	6.228
3C154		34.55		4.184	3.713
3C167		40.35		0.873	1.102
3C18		35.78		1.144	1.134
3C207		34.68		1.124	1.042
3C409		38.08		3.002	2.664
3C410		41.66		2.968	2.429
3C454.3		35.04		0.387	0.364
3C75		38.76		1.033	0.98
4C13.67		37.36		6.275	5.629
4C22.12		31.97		1.101	1.127
G196.6+0.2	42.16		1.186	1.24
G197.0+1.1	39.75		3.487	4.821
P0428+20	27.64		0.883	0.777
P0531+19	22.23		0.17	0.163
T0526+24	39.01		4.322	4.131
T0556+19	36.05		3.886	3.257
T0629+10	35.32		30.842	30.718
W51c3		78.96		290.931	235.739
