#	src		coy-n	l	b	ra.icrs		de.icrs	l	b	ra.j2000	de.j2000	Ta(K)	ra		de	
===================================================================================================================================================
41	3C207		1	213	30.1	130.1987	13.2067	213	30.1	08h40m47.7	+13d12m24 	43.041	130.1987	13.2067
42	3C208.0		-1	213.7	33.2	133.2889	13.8815	213.7	33.2	08h53m09.3	+13d52m54 	40.891	133.2889	13.8815
43	3C208.1		-1	213.6	33.6	133.6669	14.0968	213.6	33.6	08h54m40.1	+14d05m49 	37.103	133.6669	14.0968
44	3C223		-1	188.4	48.7	144.9687	35.9012	188.4	48.7	09h39m52.5	+35d54m04 	17.408	144.9687	35.9012
45	3C225a		-1	219.9	44	145.5353	13.8648	219.9	44	09h42m08.5	+13d51m53 	20.262	145.5353	13.8648
46	3C225b		-1	220	44	145.5645	13.763	220	44	09h42m15.5	+13d45m47 	65.05	145.5645	13.763
47	3C228.0		-1	220.8	46.6	148.2747	14.3305	220.8	46.6	09h53m05.9	+14d19m50 	60.652	148.2747	14.3305
48	3C234		-1	200.2	52.7	150.454		28.7866	200.2	52.7	10h01m49.0	+28d47m12 	69.032	150.454		28.7866
49	3C236		-1	190.1	54	151.5077	34.9032	190.1	54	10h06m01.8	+34d54m12 	34.931	151.5077	34.9032
50	3C237		0	232.1	46.6	152.0005	7.5045	232.1	46.6	10h08m00.1	+07d30m16 	115.829	152.0005	7.5045
51	3C245		0	233.1	56.3	160.6863	12.0587	233.1	56.3	10h42m44.7	+12d03m31 	52.961	160.6863	12.0587
52	P1055+20	0	222.5	63.1	164.574		19.8661	222.5	63.1	10h58m17.8	+19d51m58 	40.565	164.574		19.8661
53	P1117+14	-1	240.4	65.8	170.8098	14.3182	240.4	65.8	11h23m14.4	+14d19m05 	41.403	170.8098	14.3182
54	3C263.1		-1	228.3	74.4	176.5828	22.0693	228.3	74.4	11h46m19.9	+22d04m10 	51.302	176.5828	22.0693
55	3C264.0		-1	237	73.6	177.0189	19.5921	237	73.6	11h48m04.5	+19d35m32 	63.447	177.0189	19.5921
56	3C267.0		-1	256.3	70.1	178.1808	12.7505	256.3	70.1	11h52m43.4	+12d45m02 	36.972	178.1808	12.7505
57	3C272.1		-1	280.6	74.7	186.9601	12.8465	280.6	74.7	12h27m50.4	+12d50m47 	89.259	186.9601	12.8465
58	3C273		0	289.9	64.4	187.2766	2.0513	289.9	64.4	12h29m06.4	+02d03m05 	756.289	187.2766	2.0513
59	3C274.1		0	269.9	83.2	188.8621	21.3431	269.9	83.2	12h35m26.9	+21d20m35 	35.079	188.8621	21.3431
60	4C07.32		-1	322.2	68.8	199.7638	7.0043	322.2	68.8	13h19m03.3	+07d00m15 	21.868	199.7638	7.0043
61	4C32.44		-1	67.2	81	201.5722	31.9054	67.2	81	13h26m17.3	+31d54m20 	61.732	201.5722	31.9054
62	3C286		-1	56.5	80.7	202.7849	30.5101	56.5	80.7	13h31m08.4	+30d30m36 	219.683	202.7849	30.5101
63	3C293		-1	54.6	76.1	208.0729	31.4492	54.6	76.1	13h52m17.5	+31d26m57 	65.55	208.0729	31.4492
64	4C19.44		-1	9	73	209.2683	19.3188	9	73	13h57m04.4	+19d19m08 	37.261	209.2683	19.3188
65	4C20.33		-1	20.2	66.8	216.9585	19.9966	20.2	66.8	14h27m50.0	+19d59m48 	30.362	216.9585	19.9966
66	3C310		0	38.5	60.2	226.2428	26.0166	38.5	60.2	15h04m58.3	+26d01m00 	64.03	226.2428	26.0166
